smart_probes,coverage%,mode
16,18.52,Mode 1
19,29.63,Mode 1
22,40.74,Mode 1
25,51.85,Mode 1
28,55.56,Mode 1
31,55.56,Mode 1
34,55.56,Mode 1
37,55.56,Mode 1
40,55.56,Mode 1
43,66.67,Mode 1
46,77.78,Mode 1
49,88.89,Mode 1
52,92.59,Mode 1
55,92.59,Mode 1
58,92.59,Mode 1
61,92.59,Mode 1
64,92.59,Mode 1
67,92.59,Mode 1
70,92.59,Mode 1
73,92.59,Mode 1
76,92.59,Mode 1
31,74.07,Mode 2
31,74.07,Mode 2
31,74.07,Mode 2
31,74.07,Mode 2
31,74.07,Mode 2
31,74.07,Mode 2
34,85.19,Mode 2
37,88.89,Mode 2
40,92.59,Mode 2
43,92.59,Mode 2
46,92.59,Mode 2
49,92.59,Mode 2
52,92.59,Mode 2
55,92.59,Mode 2
58,92.59,Mode 2
61,92.59,Mode 2
64,92.59,Mode 2
67,92.59,Mode 2
70,92.59,Mode 2
73,92.59,Mode 2
76,92.59,Mode 2
